date,hour,category,duration,average_watch_time_seconds,percent_watched_full,plays,likes,comments,shares,voiceover,in_video_text,captions,viral
10/08/2021,1100,filler,10,4.1,16.15,20800,189,7,2,no,yes,no,0
11/05/2021,1100,inquiry,14,8.2,20.23,27500,635,61,3,no,no,yes,0
11/17/2021,1100,how to,35.5,20.7,30.27,33200,2359,20,74,yes,no,yes,0
11/25/2021,1900,filler,12.86,9.6,43.28,30600,788,156,9,yes,yes,no,0
11/28/2021,1200,filler,8,6.5,38.38,24800,454,1,4,no,yes,no,0
12/9/2021,1200,cooking,23.29,8.6,13.9,21100,311,4,5,no,yes,no,0
12/12/2021,900,breakfast prep,59.46,29.4,31.99,1300000,88500,481,12300,yes,no,yes,1
12/19/2021,1100,filler,9.52,5.2,17.62,17300,464,16,7,no,yes,no,0
12/23/2021,1100,filler,24,16.4,35.7,52400,4258,26,109,no,yes,no,0
12/26/2021,800,trend,12.47,3.7,6.3,12200,155,1,2,no,no,no,0
12/30/2021,900,organization,25.45,12.4,13.3,28900,1586,55,39,no,no,no,0
01/01/2022,900,baby prep,58,18.7,16.78,30800,1963,26,84,yes,yes,yes,0
01/02/2022,1000,baby prep,60.11,15.6,10.81,18500,748,8,30,yes,no,yes,0
01/08/2022,1000,baby prep,59,19,18.37,25100,1168,19,44,yes,no,yes,0
01/11/2022,1000,cooking prep,33.2,18.6,22.76,39200,2029,19,34,yes,no,yes,0
01/13/2022,1100,how to,35,14.2,18.63,28700,1223,15,26,yes,no,yes,0
01/16/2022,1100,baby prep,60,19.8,19.68,22100,1075,7,38,yes,no,yes,0
01/17/2022,1100,dinner prep,60.07,26.4,28.2,433200,20800,55,166,yes,yes,no,1
01/17/2022,1900,dinner prep,56.26,31.3,42.57,54700,4267,61,83,yes,yes,no,0
01/20/2022,1000,dinner prep,44,23.5,29.69,96600,6018,109,203,yes,yes,no,0
01/21/2022,1000,how to,10,6,21.57,19000,381,4,4,no,no,yes,0
01/22/2022,1000,breakfast prep,33.62,16.5,10.33,32900,2845,18,133,yes,no,yes,0
01/23/2022,1200,breakfast prep,53,16.9,15.25,29200,2391,31,137,yes,no,yes,0
01/25/2022,1000,filler,35.15,14.1,26.48,25300,1437,14,57,no,yes,no,0
01/27/2022,1100,organization,23.7,12.1,25.19,21800,996,12,10,no,yes,no,0
01/29/2022,1000,dinner prep,54,25,26.28,54400,3537,9,100,yes,yes,yes,0
02/01/2022,1100,cooking prep,20,10.6,18.78,18000,599,6,5,no,no,no,0
02/03/2022,1100,dinner prep,53,23.6,26.84,35800,2020,27,44,yes,no,yes,0
02/05/2022,900,dinner prep,50.31,25.5,34.29,695200,38700,167,1055,yes,no,yes,1
02/10/2022,1100,cooking prep,59,27,9.63,12400,596,10,6,yes,no,yes,0
02/11/2022,1000,filler,28,13.3,30.37,13100,528,6,13,yes,no,yes,0
02/12/2022,1000,filler,35,12.4,11.05,16700,1274,1342,14,no,yes,yes,0
02/13/2022,800,trend,8.19,7,29.28,9126,212,6,1,no,yes,no,0
02/15/2022,1600,filler,32.6,11.3,12.6,5527,193,10,6,no,no,yes,0
02/21/2022,900,organization,15.16,12,42.13,21100,1403,52,12,no,no,no,0
02/21/2022,1200,dessert prep,48,21.8,9.27,5161,490,8,7,yes,no,yes,0
02/26/2022,1000,dinner prep,56,28.1,34.8,2900000,142300,733,6017,yes,no,no,1
03/05/2022,1200,lunch prep,29,16.7,18.41,32900,2609,21,66,no,yes,no,0
03/10/2022,900,lunch prep,31.25,18.4,33.49,37700,3721,48,88,yes,no,no,0
03/12/2022,900,breakfast prep,57.43,19.9,19.19,13500,888,11,12,yes,yes,yes,0
